student_ref,criterion_id,raw_score
S01,RC-0101,13
S01,RC-0301,20
S01,RC-0302,12
S01,RC-0102,14
S01,RC-0201,16
S01,RC-0202,12
S01,RC-0303,15
S02,RC-0101,12
S02,RC-0301,18
S02,RC-0302,11
S02,RC-0102,13
S02,RC-0201,15
S02,RC-0202,11
S02,RC-0303,14
S03,RC-0101,14
S03,RC-0301,22
S03,RC-0302,13
S03,RC-0102,14
S03,RC-0201,17
S03,RC-0202,13
S03,RC-0303,16
S04,RC-0101,11
S04,RC-0301,17
S04,RC-0302,10
S04,RC-0102,12
S04,RC-0201,
S04,RC-0202,
S04,RC-0303,12
S05,RC-0101,13
S05,RC-0301,21
S05,RC-0302,12
S05,RC-0102,13
S05,RC-0201,16
S05,RC-0202,12
S05,RC-0303,15
S06,RC-0101,15
S06,RC-0301,23
S06,RC-0302,14
S06,RC-0102,15
S06,RC-0201,18
S06,RC-0202,14
S06,RC-0303,17
S07,RC-0101,12
S07,RC-0301,19
S07,RC-0302,11
S07,RC-0102,13
S07,RC-0201,15
S07,RC-0202,11
S07,RC-0303,14
S08,RC-0101,10
S08,RC-0301,15
S08,RC-0302,9
S08,RC-0102,11
S08,RC-0201,12
S08,RC-0202,9
S08,RC-0303,11
S09,RC-0101,14
S09,RC-0301,22
S09,RC-0302,13
S09,RC-0102,14
S09,RC-0201,17
S09,RC-0202,13
S09,RC-0303,16
S10,RC-0101,13
S10,RC-0301,20
S10,RC-0302,12
S10,RC-0102,14
S10,RC-0201,16
S10,RC-0202,12
S10,RC-0303,15
S11,RC-0101,12
S11,RC-0301,18
S11,RC-0302,11
S11,RC-0102,12
S11,RC-0201,14
S11,RC-0202,10
S11,RC-0303,13
S12,RC-0101,13
S12,RC-0301,21
S12,RC-0302,12
S12,RC-0102,13
S12,RC-0201,16
S12,RC-0202,13
S12,RC-0303,15
